date,rental
2018-01-01,4950.0
2018-01-02,7136.0
2018-01-03,7156.0
2018-01-04,7102.0
2018-01-05,7705.0
2018-01-06,5681.0
2018-01-07,5220.0
2018-01-08,6309.0
2018-01-09,5988.0
2018-01-10,4476.0
2018-01-11,4337.0
2018-01-12,4401.0
2018-01-13,3756.0
2018-01-14,4675.0
2018-01-15,6993.0
2018-01-16,7421.0
2018-01-17,6990.0
2018-01-18,7054.0
2018-01-19,8329.0
2018-01-20,6148.0
2018-01-21,5574.0
2018-01-22,4929.0
2018-01-23,4263.0
2018-01-24,3370.0
2018-01-25,3307.0
2018-01-26,3116.0
2018-01-27,2833.0
2018-01-28,3028.0
2018-01-29,4425.0
2018-01-30,3591.0
2018-01-31,4104.0
2018-02-01,5821.0
2018-02-02,6557.0
2018-02-03,3499.0
2018-02-04,2642.0
2018-02-05,4213.0
2018-02-06,4257.0
2018-02-07,5028.0
2018-02-08,6114.0
2018-02-09,6905.0
2018-02-10,4829.0
2018-02-11,3047.0
2018-02-12,5231.0
2018-02-13,6863.0
2018-02-14,7477.0
2018-02-15,3935.0
2018-02-16,3047.0
2018-02-17,3494.0
2018-02-18,5191.0
2018-02-19,8563.0
2018-02-20,8899.0
2018-02-21,8342.0
2018-02-22,8580.0
2018-02-23,6408.0
2018-02-24,7198.0
2018-02-25,7595.0
2018-02-26,10712.0
2018-02-27,10064.0
2018-02-28,4230.0
2018-03-01,5761.0
2018-03-02,9388.0
2018-03-03,16029.0
2018-03-04,5373.0
2018-03-05,9943.0
2018-03-06,14028.0
2018-03-07,12925.0
2018-03-08,8812.0
2018-03-09,13573.0
2018-03-10,13324.0
2018-03-11,15136.0
2018-03-12,15913.0
2018-03-13,19514.0
2018-03-14,24911.0
2018-03-15,7091.0
2018-03-16,18415.0
2018-03-17,20165.0
2018-03-18,11740.0
2018-03-19,10297.0
2018-03-20,13205.0
2018-03-21,8225.0
2018-03-22,16420.0
2018-03-23,17904.0
2018-03-24,14914.0
2018-03-25,13942.0
2018-03-26,15505.0
2018-03-27,17456.0
2018-03-28,21232.0
2018-03-29,21436.0
2018-03-30,24411.0
2018-03-31,25673.0
2018-04-01,22994.0
2018-04-02,28139.0
2018-04-03,26817.0
2018-04-04,26034.0
2018-04-05,2833.0
2018-04-06,13297.0
2018-04-07,13088.0
2018-04-08,7758.0
2018-04-09,23925.0
2018-04-10,20423.0
2018-04-11,25557.0
2018-04-12,28885.0
2018-04-13,29497.0
2018-04-14,8216.0
2018-04-15,12721.0
2018-04-16,29589.0
2018-04-17,28236.0
2018-04-18,23499.0
2018-04-19,20400.0
2018-04-20,28351.0
2018-04-21,33144.0
2018-04-22,8095.0
2018-04-23,1037.0
2018-04-24,24560.0
2018-04-25,33728.0
2018-04-26,32547.0
2018-04-27,32989.0
2018-04-28,33738.0
2018-04-29,35159.0
2018-04-30,32629.0
2018-05-01,34593.0
2018-05-02,8374.0
2018-05-03,25963.0
2018-05-04,34058.0
2018-05-05,37389.0
2018-05-06,19809.0
2018-05-07,40026.0
2018-05-08,33738.0
2018-05-09,37851.0
2018-05-10,36549.0
2018-05-11,33923.0
2018-05-12,3551.0
2018-05-13,35668.0
2018-05-14,35918.0
2018-05-15,36476.0
2018-05-16,7072.0
2018-05-17,3802.0
2018-05-18,19629.0
2018-05-19,43471.0
2018-05-20,39036.0
2018-05-21,42039.0
2018-05-22,17444.0
2018-05-23,35975.0
2018-05-24,36858.0
2018-05-25,37569.0
2018-05-26,37761.0
2018-05-27,39534.0
2018-05-28,40775.0
2018-05-29,29925.0
2018-05-30,39214.0
2018-05-31,41619.0
2018-06-01,41970.0
2018-06-02,41677.0
2018-06-03,40565.0
2018-06-04,44014.0
2018-06-05,44118.0
2018-06-06,40440.0
2018-06-07,42038.0
2018-06-08,46516.0
2018-06-09,32839.0
2018-06-10,39277.0
2018-06-11,30605.0
2018-06-12,46201.0
2018-06-13,49116.0
2018-06-14,30511.0
2018-06-15,45103.0
2018-06-16,46457.0
2018-06-17,43484.0
2018-06-18,36316.0
2018-06-19,47296.0
2018-06-20,46612.0
2018-06-21,47762.0
2018-06-22,47478.0
2018-06-23,45663.0
2018-06-24,39548.0
2018-06-25,46565.0
2018-06-26,6391.0
2018-06-27,41128.0
2018-06-28,27757.0
2018-06-29,42765.0
2018-06-30,26911.0
2018-07-01,4358.0
2018-07-02,6261.0
2018-07-03,41350.0
2018-07-04,45741.0
2018-07-05,39804.0
2018-07-06,49521.0
2018-07-07,48015.0
2018-07-08,48132.0
2018-07-09,8155.0
2018-07-10,27956.0
2018-07-11,35390.0
2018-07-12,43611.0
2018-07-13,44976.0
2018-07-14,39205.0
2018-07-15,34957.0
2018-07-16,40964.0
2018-07-17,43323.0
2018-07-18,42609.0
2018-07-19,42316.0
2018-07-20,40337.0
2018-07-21,32360.0
2018-07-22,28250.0
2018-07-23,38003.0
2018-07-24,37486.0
2018-07-25,39225.0
2018-07-26,37796.0
2018-07-27,34985.0
2018-07-28,24649.0
2018-07-29,28317.0
2018-07-30,36701.0
2018-07-31,35262.0
2018-08-01,31169.0
2018-08-02,31321.0
2018-08-03,31646.0
2018-08-04,28174.0
2018-08-05,26989.0
2018-08-06,29113.0
2018-08-07,36983.0
2018-08-08,37140.0
2018-08-09,32216.0
2018-08-10,36178.0
2018-08-11,31293.0
2018-08-12,27363.0
2018-08-13,36076.0
2018-08-14,37659.0
2018-08-15,29270.0
2018-08-16,41358.0
2018-08-17,47634.0
2018-08-18,45629.0
2018-08-19,42281.0
2018-08-20,44243.0
2018-08-21,41964.0
2018-08-22,42425.0
2018-08-23,23616.0
2018-08-24,17319.0
2018-08-25,47109.0
2018-08-26,32200.0
2018-08-27,23382.0
2018-08-28,13495.0
2018-08-29,13001.0
2018-08-30,33158.0
2018-08-31,46101.0
2018-09-01,43847.0
2018-09-02,48427.0
2018-09-03,16086.0
2018-09-04,50500.0
2018-09-05,53984.0
2018-09-06,46532.0
2018-09-07,53230.0
2018-09-08,55470.0
2018-09-09,54213.0
2018-09-10,55188.0
2018-09-11,56212.0
2018-09-12,57363.0
2018-09-13,55791.0
2018-09-14,49383.0
2018-09-15,44808.0
2018-09-16,24317.0
2018-09-17,55335.0
2018-09-18,57691.0
2018-09-19,44096.0
2018-09-20,23616.0
2018-09-21,32242.0
2018-09-22,49688.0
2018-09-23,38635.0
2018-09-24,36406.0
2018-09-25,49595.0
2018-09-26,57730.0
2018-09-27,58200.0
2018-09-28,59649.0
2018-09-29,63866.0
2018-09-30,55893.0
2018-10-01,51808.0
2018-10-02,57280.0
2018-10-03,64671.0
2018-10-04,59413.0
2018-10-05,7772.0
2018-10-06,32510.0
2018-10-07,57873.0
2018-10-08,57247.0
2018-10-09,61525.0
2018-10-10,44876.0
2018-10-11,44489.0
2018-10-12,48529.0
2018-10-13,49203.0
2018-10-14,49025.0
2018-10-15,49503.0
2018-10-16,51236.0
2018-10-17,49795.0
2018-10-18,49560.0
2018-10-19,52122.0
2018-10-20,49815.0
2018-10-21,48346.0
2018-10-22,49889.0
2018-10-23,40223.0
2018-10-24,50343.0
2018-10-25,52181.0
2018-10-26,24308.0
2018-10-27,33699.0
2018-10-28,20882.0
2018-10-29,36107.0
2018-10-30,37382.0
2018-10-31,39009.0
2018-11-01,41911.0
2018-11-02,44917.0
2018-11-03,40640.0
2018-11-04,39973.0
2018-11-05,43870.0
2018-11-06,39680.0
2018-11-07,29492.0
2018-11-08,2730.0
2018-11-09,34673.0
2018-11-10,34194.0
2018-11-11,23926.0
2018-11-12,38706.0
2018-11-13,40263.0
2018-11-14,41973.0
2018-11-15,39702.0
2018-11-16,37629.0
2018-11-17,28167.0
2018-11-18,26464.0
2018-11-19,34352.0
2018-11-20,34855.0
2018-11-21,28140.0
2018-11-22,29239.0
2018-11-23,28620.0
2018-11-24,11255.0
2018-11-25,19946.0
2018-11-26,30698.0
2018-11-27,28806.0
2018-11-28,29177.0
2018-11-29,28977.0
2018-11-30,28557.0
2018-12-01,24622.0
2018-12-02,23035.0
2018-12-03,10638.0
2018-12-04,20029.0
2018-12-05,23535.0
2018-12-06,23788.0
2018-12-07,15148.0
2018-12-08,9824.0
2018-12-09,8749.0
2018-12-10,17987.0
2018-12-11,20805.0
2018-12-12,19339.0
2018-12-13,11765.0
2018-12-14,14932.0
2018-12-15,12720.0
2018-12-16,10783.0
2018-12-17,17449.0
2018-12-18,20917.0
2018-12-19,21970.0
2018-12-20,22881.0
2018-12-21,23422.0
2018-12-22,17127.0
2018-12-23,13601.0
2018-12-24,16579.0
2018-12-25,12437.0
2018-12-26,17112.0
2018-12-27,11325.0
2018-12-28,10445.0
2018-12-29,8083.0
2018-12-30,7864.0
2018-12-31,11911.0
2019-01-01,8601.0
2019-01-02,14360.0
2019-01-03,16344.0
2019-01-04,17308.0
2019-01-05,12380.0
2019-01-06,11094.0
2019-01-07,16795.0
2019-01-08,15833.0
2019-01-09,15819.0
2019-01-10,17894.0
2019-01-11,19271.0
2019-01-12,14519.0
2019-01-13,11751.0
2019-01-14,14818.0
2019-01-15,14761.0
2019-01-16,15823.0
2019-01-17,17960.0
2019-01-18,18901.0
2019-01-19,14883.0
2019-01-20,11191.0
2019-01-21,17240.0
2019-01-22,19885.0
2019-01-23,19163.0
2019-01-24,20057.0
2019-01-25,18159.0
2019-01-26,13203.0
2019-01-27,12440.0
2019-01-28,17317.0
2019-01-29,19477.0
2019-01-30,20677.0
2019-01-31,17649.0
2019-02-01,17696.0
2019-02-02,13742.0
2019-02-03,2010.0
2019-02-04,8562.0
2019-02-05,9119.0
2019-02-06,13694.0
2019-02-07,14533.0
2019-02-08,14782.0
2019-02-09,11760.0
2019-02-10,9759.0
2019-02-11,16881.0
2019-02-12,18862.0
2019-02-13,18411.0
2019-02-14,19376.0
2019-02-15,9213.0
2019-02-16,12641.0
2019-02-17,13390.0
2019-02-18,19916.0
2019-02-19,11689.0
2019-02-20,19572.0
2019-02-21,20995.0
2019-02-22,21727.0
2019-02-23,23742.0
2019-02-24,21933.0
2019-02-25,23445.0
2019-02-26,28010.0
2019-02-27,28652.0
2019-02-28,27431.0
2019-03-01,21751.0
2019-03-02,22503.0
2019-03-03,24382.0
2019-03-04,26887.0
2019-03-05,24042.0
2019-03-06,25379.0
2019-03-07,31156.0
2019-03-08,33073.0
2019-03-09,32421.0
2019-03-10,31050.0
2019-03-11,28539.0
2019-03-12,25537.0
2019-03-13,28653.0
2019-03-14,30997.0
2019-03-15,20481.0
2019-03-16,26057.0
2019-03-17,35622.0
2019-03-18,36313.0
2019-03-19,39908.0
2019-03-20,16204.0
2019-03-21,26455.0
2019-03-22,32363.0
2019-03-23,21696.0
2019-03-24,31622.0
2019-03-25,34226.0
2019-03-26,42644.0
2019-03-27,35832.0
2019-03-28,38806.0
2019-03-29,43893.0
2019-03-30,14001.0
2019-03-31,22326.0
2019-04-01,37660.0
2019-04-02,42029.0
2019-04-03,43257.0
2019-04-04,45681.0
2019-04-05,45643.0
2019-04-06,25902.0
2019-04-07,55943.0
2019-04-08,52643.0
2019-04-09,24734.0
2019-04-10,26421.0
2019-04-11,51013.0
2019-04-12,55125.0
2019-04-13,57020.0
2019-04-14,28467.0
2019-04-15,55422.0
2019-04-16,60566.0
2019-04-17,62522.0
2019-04-18,50439.0
2019-04-19,60925.0
2019-04-20,51068.0
2019-04-21,53339.0
2019-04-22,63995.0
2019-04-23,58811.0
2019-04-24,55815.0
2019-04-25,22471.0
2019-04-26,26484.0
2019-04-27,65124.0
2019-04-28,56012.0
2019-04-29,63256.0
2019-04-30,70213.0
2019-05-01,76439.0
2019-05-02,72430.0
2019-05-03,73647.0
2019-05-04,66392.0
2019-05-05,66911.0
2019-05-06,74806.0
2019-05-07,70506.0
2019-05-08,70426.0
2019-05-09,71707.0
2019-05-10,74960.0
2019-05-11,76110.0
2019-05-12,73318.0
2019-05-13,68389.0
2019-05-14,78385.0
2019-05-15,76969.0
2019-05-16,75399.0
2019-05-17,79158.0
2019-05-18,79583.0
2019-05-19,12749.0
2019-05-20,72066.0
2019-05-21,80599.0
2019-05-22,80735.0
2019-05-23,78504.0
2019-05-24,77190.0
2019-05-25,75791.0
2019-05-26,74327.0
2019-05-27,30670.0
2019-05-28,83654.0
2019-05-29,83496.0
2019-05-30,73814.0
2019-05-31,83765.0
2019-06-01,79878.0
2019-06-02,77091.0
2019-06-03,82911.0
2019-06-04,83576.0
2019-06-05,81515.0
2019-06-06,36945.0
2019-06-07,54701.0
2019-06-08,83736.0
2019-06-09,60371.0
2019-06-10,63032.0
2019-06-11,85776.0
2019-06-12,83506.0
2019-06-13,81540.0
2019-06-14,85533.0
2019-06-15,71883.0
2019-06-16,81803.0
2019-06-17,86987.0
2019-06-18,42393.0
2019-06-19,79958.0
2019-06-20,88226.0
2019-06-21,81089.0
2019-06-22,85728.0
2019-06-23,79269.0
2019-06-24,88432.0
2019-06-25,88096.0
2019-06-26,81274.0
2019-06-27,79234.0
2019-06-28,77056.0
2019-06-29,67346.0
2019-06-30,74994.0
2019-07-01,92814.0
2019-07-02,94783.0
2019-07-03,94773.0
2019-07-04,90397.0
2019-07-05,83994.0
2019-07-06,70246.0
2019-07-07,75116.0
2019-07-08,93609.0
2019-07-09,95859.0
2019-07-10,43842.0
2019-07-11,65003.0
2019-07-12,94473.0
2019-07-13,81067.0
2019-07-14,74259.0
2019-07-15,57917.0
2019-07-16,82285.0
2019-07-17,84261.0
2019-07-18,81613.0
2019-07-19,77449.0
2019-07-20,56648.0
2019-07-21,46130.0
